train_loss,test_loss,train_acc,test_acc,step_time,gap,sat_ratio
1.552878284393369,1.6283273935317992,42.318,47.18,0.025133231106926415,0.07544910913843017,0.08031478794849235
1.0730000051391093,1.0283056086301803,61.396,63.33,0.02484319460056627,-0.044694396508929035,0.08208454079804219
0.8416966469696415,0.8837567657232285,70.12,69.38,0.025156971133883346,0.04206011875358695,0.04848519857667637
0.6866675930864671,0.788473729789257,76.072,74.12,0.02485884242045605,0.10180613670278993,0.06080464501217709
0.5929444826320004,0.7101931202411652,79.308,76.74,0.025014966954965422,0.11724863760916482,0.10291512122870806
0.5283868939370451,0.6733042445778846,81.652,77.96,0.0254675970053124,0.14491735064083955,0.07829668830998023
0.47237552348000317,0.5307963111996651,83.696,82.33,0.02499780203680248,0.058420787719661915,0.09856730262761615
0.4291780175607833,0.5817777574062347,85.16,81.21,0.02535218899817113,0.15259973984545144,0.07471918516710181
0.39091199819389205,0.5220843714475631,86.33,83.14,0.02517788062620041,0.1311723732536711,0.05739095331460214
0.3566851906688012,0.47764931708574293,87.542,84.23,0.02488223610021879,0.12096412641694171,0.0980383779705862
0.3260885680194401,0.44415202930569647,88.832,85.41,0.025234106556533853,0.11806346128625639,0.11071677551765735
0.29795990285970975,0.49828129664063453,89.628,84.33,0.02479161630810984,0.20032139378092478,0.1149359733333905
0.27619431234534136,0.408420133292675,90.408,86.87,0.02491437626616729,0.13222582094733365,0.09233025587682354
0.2518598358420765,0.41382839024066925,91.258,87.11,0.025031673328955766,0.16196855439859276,0.11044824471210028
0.2363192733672574,0.4076540166139603,91.794,87.09,0.025167449356040077,0.1713347432467029,0.12162415140715405
0.21151789282555775,0.4321228201687336,92.708,86.49,0.02507853203112512,0.22060492734317586,0.11453128237465099
0.20029873332327894,0.392920490950346,92.904,87.81,0.025270766919226292,0.19262175762706704,0.10777186415539253
0.1803735950890252,0.37162647113204,93.608,89.0,0.024953571426898927,0.1912528760430148,0.1080864899625286
0.1648333271789124,0.4012111409008503,94.334,88.84,0.025249284246693485,0.23637781372193792,0.09242027376909513
0.14566693644580023,0.4127011212706566,94.966,88.51,0.025042033256472224,0.2670341848248564,0.08586695093951117
0.13539239898552674,0.3953042997419834,95.262,89.33,0.02494428651717008,0.25991190075645665,0.10474862437472095
0.12090423736540253,0.37968762166798115,95.758,89.36,0.025205147540782725,0.25878338430257863,0.122524219849773
0.10837062864619143,0.3771192366629839,96.298,89.71,0.025026758003722675,0.26874860801679246,0.10050345670838817
0.0996146984493641,0.3952088686823845,96.472,89.75,0.024998085578079417,0.29559417023302037,0.0948090155349341
0.0873739010156573,0.39820338390767573,96.94,89.96,0.02510196778475476,0.31082948289201845,0.10615094565833379
0.07968143019539392,0.4075588120520115,97.286,90.31,0.025106687375041833,0.3278773818566176,0.12605083351919355
0.07000181420236978,0.4293913024663925,97.56,90.17,0.024988949451300188,0.3593894882640227,0.11011824521144163
0.05989619154278237,0.40381956085562704,97.908,90.51,0.025308462055138006,0.3439233693128447,0.11830355719361893
0.051398594956606855,0.41031025536358356,98.212,90.59,0.024874349384356644,0.3589116604069767,0.12588488111788987
0.04648698821230351,0.4151573111861944,98.426,90.41,0.025018904215234623,0.3686703229738909,0.0947774425107387
0.04241043742022017,0.42558560222387315,98.462,90.65,0.025064487286540857,0.383175164803653,0.05977099195688654
0.03580779757450723,0.4438132589310408,98.762,90.63,0.024949533555208875,0.40800546135653354,0.08380124037422557
0.03133229750698037,0.438264102935791,98.916,90.91,0.025430106750839506,0.40693180542881063,0.08266755691012896
0.02862650607420784,0.43609884172677993,99.032,91.18,0.024779417325773507,0.40747233565257207,0.09326055994699513
0.024645178167916396,0.46571573577821257,99.21,90.85,0.02497521507770509,0.4410705576102962,0.08995259085845225
0.021476922888139648,0.45685815922915934,99.306,91.23,0.025220690480888347,0.4353812363410197,0.1267092042047914
0.018709310286087664,0.47726948507130146,99.414,90.99,0.02519319368445355,0.45856017478521377,0.12512570599962503
0.017411818965147617,0.48034400790929793,99.4,91.03,0.025459412723551015,0.46293218894415034,0.10121315490797322
0.014648549703789144,0.4824845603108406,99.51,91.12,0.02504101067857669,0.46783601060705143,0.13101170764171652
0.011783431238501363,0.4825474783778191,99.6,91.11,0.025132902442951643,0.47076404713931774,0.12997299682411576
0.012134487623833548,0.49369969457387924,99.596,91.3,0.025261158833418357,0.4815652069500457,0.09414551265248168
0.009790842547742387,0.49169930204749107,99.688,91.27,0.02494439871414848,0.4819084594997487,0.08933640052632921
0.010321406914558991,0.5057601509988308,99.682,91.19,0.024982281658045776,0.49543874408427174,0.11061934969987634
0.009901867817280174,0.5001215048879385,99.69,91.17,0.02553847256828757,0.4902196370706583,0.13020187880679526
0.00809941100893909,0.4911130950599909,99.758,91.33,0.025263184476691437,0.48301368405105183,0.1321175957388174
0.007066765697659565,0.5021643462777138,99.778,91.32,0.02488114522851032,0.4950975805800542,0.11083210832556757
0.007462117002088675,0.49833836540579796,99.768,91.3,0.025323325105945167,0.4908762484037093,0.0969469546794817
0.007885677550877372,0.5013880178332328,99.738,91.35,0.025083409550854616,0.49350234028235546,0.0793058535797906
0.006126776077177809,0.5001373122632503,99.798,91.21,0.025303355873088396,0.4940105361860725,0.11460586302001968
0.0078014625169810494,0.501447646021843,99.75,91.26,0.024997669107773724,0.49364618350486195,0.10232986412485552
